date,value
2019/04/07 23:56:08,10.5
2019/04/07 23:51:07,15.6
2019/04/07 23:46:05,12.8
2019/04/07 23:41:05,12.4
2019/04/07 23:36:05,15
2019/04/07 23:31:04,12.8
2019/04/07 23:26:03,14.4
2019/04/07 23:21:02,16.3
2019/04/07 23:16:01,18.9
2019/04/07 23:11:00,15
2019/04/07 23:05:59,18
2019/04/07 23:00:58,16.3
2019/04/07 22:55:57,18.9
2019/04/07 22:50:57,18
2019/04/07 22:45:55,18.9
2019/04/07 22:40:55,17.1
2019/04/07 22:35:54,20
2019/04/07 22:30:53,20
2019/04/07 22:25:52,21.1
2019/04/07 22:20:52,18
2019/04/07 22:15:50,20
2019/04/07 22:10:49,20
2019/04/07 22:05:49,20
2019/04/07 22:00:47,22.5
2019/04/07 21:55:47,25.7
2019/04/07 21:50:46,24
2019/04/07 21:45:44,22.5
2019/04/07 21:40:44,21.2
2019/04/07 21:35:43,17.1
2019/04/07 21:30:42,21.2
2019/04/07 21:25:41,25.7
2019/04/07 21:20:41,27.7
2019/04/07 21:15:39,27.7
2019/04/07 21:10:38,32.7
2019/04/07 21:05:37,22.5
2019/04/07 21:00:36,30
2019/04/07 20:55:36,32.7
2019/04/07 20:50:36,27.7
2019/04/07 20:45:34,32.7
2019/04/07 20:40:34,32.7
2019/04/07 20:35:33,30
2019/04/07 20:30:31,32.7
2019/04/07 20:25:31,30
2019/04/07 20:20:31,32.7
2019/04/07 20:15:29,30
2019/04/07 20:10:29,30
2019/04/07 20:05:28,30
2019/04/07 16:59:54,21.2
2019/04/07 16:54:53,15.6
2019/04/07 16:49:53,24
2019/04/07 16:44:51,22.5
2019/04/07 16:39:51,18
2019/04/07 16:34:50,22.5
2019/04/07 16:29:49,22.5
2019/04/07 16:24:49,25.7
2019/04/07 16:19:48,24
2019/04/07 16:14:47,21.1
2019/04/07 16:09:46,24
2019/04/07 16:04:46,24
2019/04/07 15:59:45,30
2019/04/07 15:54:44,22.5
2019/04/07 15:49:43,27.7
2019/04/07 15:44:42,30
2019/04/07 15:39:41,36
2019/04/07 15:34:40,30
2019/04/07 15:29:38,30
2019/04/07 15:24:37,30
2019/04/07 15:19:37,36
2019/04/07 15:14:36,32.7
2019/04/07 15:09:36,30
2019/04/07 15:04:35,32.7
2019/04/07 14:59:34,36
2019/04/07 14:54:33,30
2019/04/07 14:49:33,40
2019/04/07 14:44:31,36
2019/04/07 14:39:31,13
2019/04/07 14:34:30,36
2019/04/07 14:29:28,36
2019/04/07 14:24:28,32.7
2019/04/07 14:19:27,45
2019/04/07 14:14:25,36
2019/04/07 14:09:24,36
2019/04/07 14:04:24,36
2019/04/07 13:59:22,36
2019/04/07 13:54:22,27.7
2019/04/07 13:49:21,40
2019/04/07 13:44:19,27.7
2019/04/07 13:39:19,27.7
2019/04/07 13:34:18,36
2019/04/07 13:29:17,32.7
2019/04/07 13:24:16,36
2019/04/07 13:19:16,32.7
2019/04/07 13:14:14,32.7
2019/04/07 13:09:13,27.7
2019/04/07 13:04:12,36
2019/04/07 12:59:11,32.7
2019/04/07 12:54:11,36
2019/04/07 12:49:11,36
2019/04/07 12:44:09,32.7
2019/04/07 12:39:08,36
2019/04/07 12:34:08,45.1
2019/04/07 12:29:06,32.7
2019/04/07 12:24:06,36
2019/04/07 12:19:05,36
2019/04/07 12:14:04,27.7
2019/04/07 12:09:04,40
2019/04/07 12:04:03,40
2019/04/07 11:59:01,80
2019/04/07 11:54:01,40
2019/04/07 11:49:01,36
2019/04/07 11:43:59,40
2019/04/07 11:38:58,40
2019/04/07 11:33:57,36
2019/04/07 11:28:55,40
2019/04/07 11:23:55,36
2019/04/07 11:18:54,40
2019/04/07 11:13:52,30
2019/04/07 11:08:52,40
2019/04/07 11:03:51,36
2019/04/07 10:58:50,36
2019/04/07 10:53:50,32.7
2019/04/07 10:48:49,36
2019/04/07 10:43:47,32.7
2019/04/07 10:38:46,36
2019/04/07 10:33:45,32.7
2019/04/07 10:28:44,32.7
2019/04/07 10:23:43,30
2019/04/07 10:18:43,40
2019/04/07 10:13:42,32.7
2019/04/07 10:08:41,30
2019/04/07 10:03:41,40
2019/04/07 09:58:39,32.7
2019/04/07 09:53:38,30
2019/04/07 09:48:38,25.7
2019/04/07 09:43:37,36
2019/04/07 09:38:37,30
2019/04/07 09:33:37,25.7
2019/04/07 09:28:35,27.7
2019/04/07 09:23:35,27.7
2019/04/07 09:18:35,27.7
2019/04/07 09:13:33,32.7
2019/04/07 09:08:32,30
2019/04/07 09:03:32,25.7
2019/04/07 08:58:31,22.5
2019/04/07 08:53:30,25.7
2019/04/07 08:48:30,22.5
2019/04/07 08:43:29,25.7
2019/04/07 08:38:28,22.5
2019/04/07 08:33:27,18
2019/04/07 08:28:25,17.1
2019/04/07 08:23:25,17.1
2019/04/07 08:18:25,18
2019/04/07 08:13:24,13.8
2019/04/07 08:08:23,14.4
2019/04/07 08:03:22,13.3
2019/04/07 07:58:21,18.9
2019/04/07 07:53:21,12.8
2019/04/07 07:48:20,13.8
2019/04/07 07:43:19,12
2019/04/07 07:38:18,12.8
2019/04/07 07:33:18,15
2019/04/07 07:28:17,12.4
2019/04/07 07:23:17,15
2019/04/07 07:18:16,11.6
2019/04/07 07:08:14,10.5
2019/04/07 07:03:13,9
2019/04/07 06:58:12,11.2
2019/04/07 06:53:12,9.2
2019/04/07 06:48:11,10.9
2019/04/07 06:43:09,9.2
2019/04/07 06:38:09,6.1
2019/04/07 06:33:09,12.4
2019/04/07 06:28:07,7.6
2019/04/07 06:23:07,6.3
2019/04/07 06:18:07,7.2
2019/04/07 06:13:05,5.7
2019/04/07 06:08:05,8.5
2019/04/07 06:03:04,9.2
2019/04/07 05:58:02,5.5
2019/04/07 05:53:02,9
2019/04/07 05:48:01,5.8
2019/04/07 05:43:00,8
2019/04/07 05:37:59,6.5
2019/04/07 05:32:58,6.2
2019/04/07 05:27:57,8.5
2019/04/07 05:22:57,8.3
2019/04/07 05:17:56,10.5
2019/04/07 05:12:54,10
2019/04/07 05:07:54,8.5
2019/04/07 05:02:54,7.5
2019/04/07 04:57:52,10.2
2019/04/07 04:52:52,10.9
2019/04/07 04:47:51,12.8
2019/04/07 04:42:50,14.4
2019/04/07 04:37:49,10.2
2019/04/07 04:32:49,10.9
2019/04/07 04:27:47,10.5
2019/04/07 04:22:47,11.6
2019/04/07 04:17:46,12.8
2019/04/07 04:12:45,13.8
2019/04/07 04:07:45,12.4
2019/04/07 04:02:44,12.8
2019/04/07 03:57:42,15.6
2019/04/07 03:52:41,15.6
2019/04/07 03:47:41,14.4
2019/04/07 03:42:39,42
2019/04/07 03:37:38,15.6
2019/04/07 03:32:37,17.1
2019/04/07 03:27:36,14.4
2019/04/07 03:22:35,13.8
2019/04/07 03:17:35,12.8
2019/04/07 03:12:34,12.8
2019/04/07 03:07:33,7.5
2019/04/07 03:02:33,6.5
2019/04/07 02:57:32,6
2019/04/07 02:52:31,6.7
2019/04/07 02:47:30,8.5
2019/04/07 02:42:28,7.3
2019/04/07 02:37:28,6
2019/04/07 02:32:27,6.4
2019/04/07 02:27:25,6.9
2019/04/07 02:22:24,6.7
2019/04/07 02:17:24,9.2
2019/04/07 02:12:22,6.5
2019/04/07 02:07:22,7.8
2019/04/07 02:02:21,8.1
2019/04/07 01:57:19,6.2
2019/04/07 01:52:19,8
2019/04/07 01:47:18,7.5
2019/04/07 01:42:17,7.3
