date,value
2018/06/01 00:00:11,22.71
2018/06/01 00:01:35,24.56
2018/06/01 00:01:58,22.7
2018/06/01 00:02:25,24.97
2018/06/01 00:03:30,25.73
2018/06/01 00:03:58,23.14
2018/06/01 00:04:34,21.24
2018/06/01 00:05:22,19.33
2018/06/01 00:05:43,21.15
2018/06/01 00:06:06,19.27
2018/06/01 00:06:34,21.18
2018/06/01 00:07:09,23.14
2018/06/01 00:08:03,20.75
2018/06/01 00:09:18,18.93
2018/06/01 00:09:55,20.74
2018/06/01 00:10:27,22.82
2018/06/01 00:10:35,24.77
2018/06/01 00:11:02,22.95
2018/06/01 00:11:17,21.09
2018/06/01 00:11:41,23.27
2018/06/01 00:11:51,25.17
2018/06/01 00:12:19,23.35
2018/06/01 00:13:25,21.33
2018/06/01 00:13:48,19.34
2018/06/01 00:14:36,21.15
2018/06/01 00:14:51,22.95
2018/06/01 00:15:05,25.5
2018/06/01 00:15:33,23.58
2018/06/01 00:15:45,21.71
2018/06/01 00:16:01,19.84
2018/06/01 00:16:34,21.9
2018/06/01 00:17:15,20.04
2018/06/01 00:17:55,21.85
2018/06/01 00:18:59,24.19
2018/06/01 00:19:07,26.14
2018/06/01 00:19:20,24.34
2018/06/01 00:19:34,22.43
2018/06/01 00:19:48,20.37
2018/06/01 00:20:09,22.34
2018/06/01 00:20:21,24.18
2018/06/01 00:21:00,22.06
2018/06/01 00:21:51,20.24
2018/06/01 00:22:19,22.06
2018/06/01 00:22:49,23.98
2018/06/01 00:23:36,24.4
2018/06/01 00:23:58,21.93
2018/06/01 00:24:26,20.11
2018/06/01 00:24:58,22.05
2018/06/01 00:25:40,23.94
2018/06/01 00:25:49,26.07
2018/06/01 00:26:09,24.22
2018/06/01 00:26:46,22.38
2018/06/01 00:27:00,20.58
2018/06/01 00:27:28,18.76
2018/06/01 00:27:54,20.78
2018/06/01 00:28:35,22.76
2018/06/01 00:28:45,24.65
2018/06/01 00:29:31,22.77
2018/06/01 00:29:45,20.7
2018/06/01 00:30:36,18.46
2018/06/01 00:31:04,20.5
2018/06/01 00:31:40,22.57
2018/06/01 00:32:04,20.38
2018/06/01 00:32:12,18.56
2018/06/01 00:33:01,20.39
2018/06/01 00:33:15,22.49
2018/06/01 00:34:11,20.64
2018/06/01 00:35:11,18.69
2018/06/01 00:35:42,20.79
2018/06/01 00:35:47,18.96
2018/06/01 00:36:40,20.76
2018/06/01 00:37:41,22.61
2018/06/01 00:38:25,20.62
2018/06/01 00:38:42,18.76
2018/06/01 00:39:05,16.86
2018/06/01 00:39:50,18.9
2018/06/01 00:40:15,17.06
2018/06/01 00:41:33,19.1
2018/06/01 00:41:50,17.24
2018/06/01 00:42:16,19.37
2018/06/01 00:42:58,21.24
2018/06/01 00:43:17,19.38
2018/06/01 00:43:30,18.11
2018/06/01 00:43:45,21.25
2018/06/01 00:44:10,23.06
2018/06/01 00:44:16,24.96
2018/06/01 00:44:38,23
2018/06/01 00:44:45,20.88
2018/06/01 00:46:01,18.99
2018/06/01 00:47:28,20.84
2018/06/01 00:47:56,18.97
2018/06/01 00:50:19,20.82
2018/06/01 00:50:34,22.82
2018/06/01 00:50:46,20.67
2018/06/01 00:51:44,18.65
2018/06/01 00:52:02,20.75
2018/06/01 00:52:16,22.69
2018/06/01 00:52:27,20.87
2018/06/01 00:52:35,18.9
2018/06/01 00:52:44,16.87
2018/06/01 00:52:52,14.92
2018/06/01 00:53:44,16.86
2018/06/01 00:53:57,18.69
2018/06/01 00:54:06,20.72
2018/06/01 00:54:46,18.68
2018/06/01 00:54:56,16.84
2018/06/01 00:57:41,15.02
2018/06/01 00:58:29,17.03
2018/06/01 00:58:49,15.16
2018/06/01 00:59:46,16.99
2018/06/01 01:00:11,18.83
2018/06/01 01:00:26,20.84
2018/06/01 01:00:38,18.81
2018/06/01 01:01:24,16.95
2018/06/01 01:02:59,19.12
2018/06/01 01:03:30,19.73
2018/06/01 01:03:44,21.11
2018/06/01 01:04:19,19.27
2018/06/01 01:04:42,21.25
2018/06/01 01:05:02,19.4
2018/06/01 01:05:24,17.51
2018/06/01 01:06:02,19.43
2018/06/01 01:06:18,17.54
2018/06/01 01:06:35,19.36
2018/06/01 01:07:07,21.31
2018/06/01 01:07:24,19.4
2018/06/01 01:08:04,17.5
2018/06/01 01:09:44,15.5
2018/06/01 01:10:10,17.64
2018/06/01 01:10:45,15.82
2018/06/01 01:11:07,13.87
2018/06/01 01:12:15,15.68
2018/06/01 01:12:59,17.51
2018/06/01 01:13:21,19.47
2018/06/01 01:13:49,17.61
2018/06/01 01:14:02,15.79
2018/06/01 01:14:56,17.7
2018/06/01 01:15:35,15.57
2018/06/01 01:16:00,13.67
2018/06/01 01:16:17,15.73
2018/06/01 01:17:23,17.59
2018/06/01 01:18:16,15.73
2018/06/01 01:18:29,13.86
2018/06/01 01:18:37,11.78
2018/06/01 01:19:01,13.78
2018/06/01 01:19:08,15.94
2018/06/01 01:19:41,18.07
2018/06/01 01:20:07,16.23
2018/06/01 01:20:21,14.39
2018/06/01 01:21:48,12.33
2018/06/01 01:22:07,14.24
2018/06/01 01:22:52,16.3
2018/06/01 01:23:15,14.21
2018/06/01 01:23:30,14.27
2018/06/01 01:23:41,16.05
2018/06/01 01:23:50,17.92
2018/06/01 01:24:09,16.03
2018/06/01 01:24:59,14.14
2018/06/01 01:25:40,16.17
2018/06/01 01:26:15,14.31
2018/06/01 01:26:53,16.17
2018/06/01 01:27:33,14.24
2018/06/01 01:29:27,16.2
2018/06/01 01:30:25,18.22
2018/06/01 01:30:44,16.3
2018/06/01 01:31:36,14.48
2018/06/01 01:32:09,12.29
2018/06/01 01:32:29,14.38
2018/06/01 01:32:45,16.26
2018/06/01 01:33:30,14.23
2018/06/01 01:34:41,16.27
2018/06/01 01:35:52,14.25
2018/06/01 01:36:45,16.25
2018/06/01 01:37:26,14.43
2018/06/01 01:40:06,16.31
2018/06/01 01:40:50,14.47
2018/06/01 01:41:20,12.55
2018/06/01 01:42:13,14.58
2018/06/01 01:43:30,13.86
2018/06/01 01:43:47,16.41
