date,value
17/01/2018 00:03,9.7
17/01/2018 00:09,9.2
17/01/2018 00:14,10.9
17/01/2018 00:19,9.2
17/01/2018 00:24,8.5
17/01/2018 00:29,9.2
17/01/2018 00:35,8.3
17/01/2018 00:40,7.8
17/01/2018 00:45,8.3
17/01/2018 00:50,10
17/01/2018 00:55,8.5
17/01/2018 01:01,8
17/01/2018 01:06,9.4
17/01/2018 01:11,11.2
17/01/2018 01:16,7.3
17/01/2018 01:21,10
17/01/2018 01:27,12.8
17/01/2018 01:32,7.6
17/01/2018 01:37,8.7
17/01/2018 01:42,8.7
17/01/2018 01:48,6.9
17/01/2018 01:53,7.3
17/01/2018 01:58,8
17/01/2018 02:03,9.4
17/01/2018 02:09,7
17/01/2018 02:14,8.7
17/01/2018 02:19,7
17/01/2018 02:24,6.1
17/01/2018 02:29,6.5
17/01/2018 02:34,6.7
17/01/2018 02:40,7.2
17/01/2018 02:45,6.6
17/01/2018 02:50,5.5
17/01/2018 02:55,7.6
17/01/2018 03:00,6.9
17/01/2018 03:06,6.4
17/01/2018 03:11,6.4
17/01/2018 03:16,7.5
17/01/2018 03:21,6.7
17/01/2018 03:26,5.2
17/01/2018 03:32,6.2
17/01/2018 03:37,7
17/01/2018 03:42,6.4
17/01/2018 03:47,6.6
17/01/2018 03:52,5.3
17/01/2018 03:57,6.2
17/01/2018 04:03,8.1
17/01/2018 04:08,6.2
17/01/2018 04:13,8.3
17/01/2018 04:18,7
17/01/2018 04:23,5.4
17/01/2018 04:29,5.3
17/01/2018 04:34,6.5
17/01/2018 04:39,8.7
17/01/2018 04:44,5.1
17/01/2018 04:49,6.9
17/01/2018 04:55,6.9
17/01/2018 05:00,8
17/01/2018 05:05,6.9
17/01/2018 05:10,8.3
17/01/2018 05:15,8
17/01/2018 05:21,6.4
17/01/2018 05:26,8.5
17/01/2018 05:31,7.6
17/01/2018 05:36,6.9
17/01/2018 05:41,8
17/01/2018 05:47,8.1
17/01/2018 05:52,10
17/01/2018 05:57,8.1
17/01/2018 06:02,9.7
17/01/2018 06:07,7.8
17/01/2018 06:13,8
17/01/2018 06:18,10
17/01/2018 06:23,12
17/01/2018 06:28,9
17/01/2018 06:33,13.3
17/01/2018 06:39,14.4
17/01/2018 06:44,17.1
17/01/2018 06:49,18.9
17/01/2018 06:54,20
17/01/2018 06:59,18.9
17/01/2018 07:05,25.7
17/01/2018 07:10,22.5
17/01/2018 07:15,25.7
17/01/2018 07:20,32.7
17/01/2018 07:25,32.7
17/01/2018 07:30,36
17/01/2018 07:36,40
17/01/2018 07:41,45
