date,value
2017-09-01 00:07:30,296.56050498490646
2017-09-01 00:22:30,261.9793333333332
2017-09-01 00:37:30,247.35838888888907
2017-09-01 00:52:30,263.13755555555554
2017-09-01 01:07:30,280.48305555555544
2017-09-01 01:22:30,276.8608333333332
2017-09-01 01:37:30,247.28822222222198
2017-09-01 01:52:30,228.87766666666676
2017-09-01 02:07:30,249.95677777777792
2017-09-01 02:22:30,235.4276666666674
2017-09-01 02:37:30,200.17794444444507
2017-09-01 02:52:30,177.28094444444469
2017-09-01 03:07:30,165.45744444444472
2017-09-01 03:22:30,151.54433333333327
2017-09-01 03:37:30,131.12222222222226
2017-09-01 03:52:30,118.77088888888784
2017-09-01 04:07:30,179.13405555555573
2017-09-01 04:22:30,200.75750000000062
2017-09-01 04:37:30,209.1062222222222
2017-09-01 04:52:30,216.22522222222324
2017-09-01 05:07:30,290.6577222222213
2017-09-01 05:22:30,292.2062222222212
2017-09-01 05:37:30,304.56877777777754
2017-09-01 05:52:30,298.2506666666659
2017-09-01 06:07:30,330.9893333333339
2017-09-01 06:22:30,321.4091944444426
2017-09-01 06:37:30,330.71283333333395
2017-09-01 06:52:30,307.84766666666746
2017-09-01 07:07:30,319.71177777777757
2017-09-01 07:22:30,313.4446944444444
2017-09-01 07:37:30,268.27680555555617
2017-09-01 07:52:30,248.47388888888963
2017-09-01 08:07:30,243.69744444444314
2017-09-01 08:22:30,241.8248888888902
2017-09-01 08:37:30,241.024444444447
2017-09-01 08:52:30,219.0855555555554
2017-09-01 09:07:30,211.84588888888902
2017-09-01 09:22:30,203.4792777777784
2017-09-01 09:37:30,190.93022222222498
2017-09-01 09:52:30,185.66755555555392
2017-09-01 10:07:30,184.86327777778024
2017-09-01 10:22:30,177.2257777777777
2017-09-01 10:37:30,187.70650000000023
2017-09-01 10:52:30,192.66688888888893
2017-09-01 11:07:30,177.426055555552
2017-09-01 11:22:30,177.90761111110987
2017-09-01 11:37:30,162.27305555555358
2017-09-01 11:52:30,158.29088888888873
2017-09-01 12:07:30,178.6717777777758
2017-09-01 12:22:30,225.5895555555544
2017-09-01 12:37:30,199.1552222222217
2017-09-01 12:52:30,155.7051111111159
2017-09-01 13:07:30,161.81966666666995
2017-09-01 13:22:30,148.9955000000009
2017-09-01 13:37:30,102.25505555555173
2017-09-01 13:52:30,104.04633333333368
2017-09-01 14:07:30,122.17833333333328
2017-09-01 14:22:30,121.13016666666772
2017-09-01 14:37:30,108.29105555555543
2017-09-01 14:52:30,118.97983333333468
2017-09-01 15:07:30,141.0682222222258
