date,value
2017-11-01 00:00:50,121.9
2017-11-01 00:01:53,124.5
2017-11-01 00:02:55,126.3
2017-11-01 00:03:59,125.6
2017-11-01 00:05:00,132.4
2017-11-01 00:06:00,134.0
2017-11-01 00:07:00,143.7
2017-11-01 00:08:00,145.4
2017-11-01 00:09:22,145.4
2017-11-01 00:10:43,163.1
2017-11-01 00:12:00,160.8
2017-11-01 00:13:01,163.9
2017-11-01 00:14:09,168.6
2017-11-01 00:15:28,167.7
2017-11-01 00:16:41,167.7
2017-11-01 00:18:00,168.2
2017-11-01 00:19:25,167.3
2017-11-01 00:20:50,162.7
2017-11-01 00:21:59,165.0
2017-11-01 00:23:00,166.3
2017-11-01 00:24:00,168.2
2017-11-01 00:25:14,176.4
2017-11-01 00:26:27,179.0
2017-11-01 00:27:47,167.4
2017-11-01 00:28:49,165.9
2017-11-01 00:29:51,169.6
2017-11-01 00:31:00,171.1
2017-11-01 00:32:00,165.6
2017-11-01 00:33:00,170.7
2017-11-01 00:34:08,178.1
2017-11-01 00:35:21,176.9
2017-11-01 00:36:21,186.4
2017-11-01 00:37:36,186.0
2017-11-01 00:38:40,181.9
2017-11-01 00:40:00,178.8
2017-11-01 00:41:11,180.6
2017-11-01 00:42:13,186.0
2017-11-01 00:43:20,184.7
2017-11-01 00:44:29,181.7
2017-11-01 00:45:30,184.3
2017-11-01 00:46:32,178.6
2017-11-01 00:47:40,175.6
2017-11-01 00:48:53,172.4
2017-11-01 00:49:58,169.6
2017-11-01 00:51:00,166.5
2017-11-01 00:52:00,166.2
2017-11-01 00:53:06,165.2
2017-11-01 00:54:10,150.0
2017-11-01 00:55:23,151.5
2017-11-01 00:56:26,152.0
2017-11-01 00:57:47,149.0
2017-11-01 00:59:00,145.6
2017-11-01 01:00:00,149.3
2017-11-01 01:01:12,152.9
2017-11-01 01:02:26,148.9
2017-11-01 01:03:53,148.5
2017-11-01 01:04:55,147.3
2017-11-01 01:06:00,149.9
2017-11-01 01:07:31,149.0
2017-11-01 01:09:00,158.4
2017-11-01 01:10:07,163.8
2017-11-01 01:11:31,163.0
2017-11-01 01:12:34,169.9
2017-11-01 01:13:41,133.5
2017-11-01 01:14:42,136.2
2017-11-01 01:15:57,140.5
2017-11-01 01:17:00,146.7
2017-11-01 01:18:00,147.1
2017-11-01 01:19:00,141.4
2017-11-01 01:20:36,148.8
2017-11-01 01:21:42,138.5
2017-11-01 01:22:50,134.9
2017-11-01 01:24:00,132.3
2017-11-01 01:25:06,134.7
2017-11-01 01:26:15,131.0
2017-11-01 01:27:19,133.2
2017-11-01 01:28:20,136.3
2017-11-01 01:29:28,143.1
2017-11-01 01:30:48,132.9
2017-11-01 01:32:00,124.9
2017-11-01 01:33:00,123.5
2017-11-01 01:34:11,121.7
2017-11-01 01:35:21,124.7
2017-11-01 01:36:34,121.0
2017-11-01 01:37:34,113.7
2017-11-01 01:38:35,113.5
2017-11-01 01:39:59,109.6
2017-11-01 01:41:03,105.8
2017-11-01 01:42:11,104.6
2017-11-01 01:43:24,109.3
2017-11-01 01:44:26,114.3
2017-11-01 01:45:39,115.3
2017-11-01 01:46:53,109.7
2017-11-01 01:48:00,119.0
2017-11-01 01:49:10,105.3
2017-11-01 01:50:25,97.1
2017-11-01 01:51:48,96.8
2017-11-01 01:53:00,104.9
2017-11-01 01:54:10,99.8
2017-11-01 01:55:16,105.3
2017-11-01 01:57:00,102.4
2017-11-01 01:58:21,96.6
2017-11-01 01:59:35,91.1
2017-11-01 02:00:58,90.2
2017-11-01 02:02:00,99.3
2017-11-01 02:03:00,93.1
2017-11-01 02:04:02,99.0
2017-11-01 02:05:18,90.7
2017-11-01 02:06:22,88.9
2017-11-01 02:07:25,98.4
2017-11-01 02:08:35,76.2
2017-11-01 02:09:43,77.9
2017-11-01 02:11:00,79.8
2017-11-01 02:12:17,84.0
2017-11-01 02:13:23,84.8
2017-11-01 02:14:40,83.7
2017-11-01 02:16:12,87.4
2017-11-01 02:17:44,80.9
2017-11-01 02:19:00,86.8
2017-11-01 02:20:05,91.1
2017-11-01 02:21:15,89.2
2017-11-01 02:22:33,81.9
2017-11-01 02:23:57,83.6
2017-11-01 02:25:00,85.1
2017-11-01 02:26:00,83.0
2017-11-01 02:27:41,87.8
2017-11-01 02:28:43,84.8
2017-11-01 02:30:00,73.8
2017-11-01 02:31:03,73.2
2017-11-01 02:32:18,72.9
2017-11-01 02:33:25,76.5
2017-11-01 02:34:53,72.1
2017-11-01 02:36:00,71.0
2017-11-01 02:37:00,71.0
2017-11-01 02:38:00,72.4
2017-11-01 02:39:00,70.4
2017-11-01 02:41:00,70.5
2017-11-01 02:42:00,67.9
2017-11-01 02:43:02,67.3
2017-11-01 02:44:03,65.2
2017-11-01 02:45:09,68.7
2017-11-01 02:46:15,75.3
2017-11-01 02:47:21,73.0
2017-11-01 02:48:29,58.5
2017-11-01 02:49:42,50.8
2017-11-01 02:51:00,55.1
2017-11-01 02:52:16,55.7
2017-11-01 02:53:18,53.1
2017-11-01 02:54:22,53.5
2017-11-01 02:55:23,55.7
2017-11-01 02:56:42,59.2
2017-11-01 02:57:59,57.7
2017-11-01 02:59:00,60.8
2017-11-01 03:00:00,59.7
2017-11-01 03:01:12,68.8
2017-11-01 03:02:22,67.9
2017-11-01 03:03:28,71.2
2017-11-01 03:04:30,71.6
2017-11-01 03:05:33,103.2
2017-11-01 03:06:39,83.7
2017-11-01 03:07:43,82.7
2017-11-01 03:08:45,82.2
2017-11-01 03:09:47,78.4
2017-11-01 03:10:50,78.7
2017-11-01 03:11:58,83.8
2017-11-01 03:13:00,81.2
2017-11-01 03:14:00,79.8
2017-11-01 03:15:05,82.0
2017-11-01 03:16:09,84.9
2017-11-01 03:17:17,79.8
2017-11-01 03:18:28,91.7
2017-11-01 03:19:41,92.8
2017-11-01 03:20:46,89.8
2017-11-01 03:22:00,94.1
2017-11-01 03:23:09,91.8
2017-11-01 03:24:11,95.2
2017-11-01 03:25:12,96.5
2017-11-01 03:26:13,94.2
2017-11-01 03:27:17,98.6
2017-11-01 03:28:39,98.5
2017-11-01 03:29:45,98.4
2017-11-01 03:30:49,92.3
2017-11-01 03:32:00,89.7
2017-11-01 03:33:00,98.2
2017-11-01 03:34:00,99.2
2017-11-01 03:35:08,91.7
2017-11-01 03:36:09,89.1
2017-11-01 03:37:18,88.8
2017-11-01 03:38:30,82.6
2017-11-01 03:39:49,85.4
2017-11-01 03:40:57,87.1
2017-11-01 03:42:00,85.3
2017-11-01 03:43:00,86.2
2017-11-01 03:44:00,88.7
2017-11-01 03:45:00,91.9
2017-11-01 03:46:01,86.9
2017-11-01 03:47:03,90.1
2017-11-01 03:48:15,92.8
2017-11-01 03:49:24,95.7
2017-11-01 03:50:48,96.7
2017-11-01 03:51:49,103.0
2017-11-01 03:52:51,101.5
2017-11-01 03:54:00,102.0
2017-11-01 03:55:00,97.3
2017-11-01 03:56:56,116.9
2017-11-01 03:57:58,116.4
2017-11-01 03:59:00,124.4
2017-11-01 04:00:00,132.8
2017-11-01 04:01:03,138.9
2017-11-01 04:02:07,162.5
2017-11-01 04:03:21,159.7
2017-11-01 04:04:23,154.8
2017-11-01 04:06:00,152.6
2017-11-01 04:07:13,153.5
2017-11-01 04:08:14,149.2
2017-11-01 04:09:16,149.9
2017-11-01 04:10:52,157.2
2017-11-01 04:12:00,150.3
2017-11-01 04:13:00,155.3
2017-11-01 04:14:00,164.7
2017-11-01 04:15:26,169.7
2017-11-01 04:16:58,170.0
2017-11-01 04:18:00,171.7
2017-11-01 04:19:00,169.1
2017-11-01 04:21:00,163.9
2017-11-01 04:22:11,165.2
2017-11-01 04:23:15,161.5
2017-11-01 04:24:23,178.3
2017-11-01 04:25:41,178.3
2017-11-01 04:27:00,174.5
2017-11-01 04:28:17,178.4
2017-11-01 04:29:45,177.8
2017-11-01 04:30:51,181.6
2017-11-01 04:32:00,179.8
2017-11-01 04:33:00,181.0
2017-11-01 04:34:00,185.1
2017-11-01 04:35:02,186.5
2017-11-01 04:36:12,170.2
2017-11-01 04:37:35,175.2
2017-11-01 04:39:00,176.5
2017-11-01 04:40:02,173.6
2017-11-01 04:41:22,171.1
2017-11-01 04:42:28,176.4
